"nomtaxon","count"
serrasalmus eigenmanni,527
crenicichla albopunctata,19
gymnotus coropinae,76
geophagus camopiensis,30
tetragonopterus chalceus,2
bryconops affinis,314
copella carsevennensis,149
heptapteridae sp,4
cleithracara maronii,22
hoplias aimara,92
ancistrus aff. hoplogenys,1
aequidens tetramerus,14
geophagus surinamensis,5
megalops atlanticus,19
laimosemion agilae,29
sciaenidae sp,2
hoplosternum littorale,826
gymnotiforme sp,14
leporinus acutidens,142
pseudotylosurus microps,44
corydoras aeneus,11
platystacus cotylephorus,47
astyanax sp.,6
electrophorus electricus,2
cyphocharax spilurus,106
bunocephalus aloikae,14
curimatidae sp,1
loricaria cataphracta,177
apistogramma gossei,29
potamotrygon orbignyi,2
cathorops spixii,49
eigenmannia virescens,73
cyphocharax sp.,2
bryconops melanurus,554
jupiaba meunieri,14
astronotus ocellatus,1
brachyhypopomus beebei,3
moenkhausia oligolepis,109
sternopygus macrurus,43
charax niger,183
plagioscion auratus,1
jupiaba keithi,22
chilodus zunevei,15
sternopygidae sp,1
auchenipterus nuchalis,407
brachyplatystoma vaillantii,5
gymnotus carapo,50
ancistrus cf. leucostictus,12
moenkhausia sp.,2
ancistrus sp,4
moenkhausia aff. intermedia,14
harttiella longicauda,5
hypopomus artedi,20
moenkhausia aff. grandisquamis,318
bryconops aff. caudomaculatus,871
trachelyopterus galeatus,164
ituglanis nebulosus,20
leporinus melanostictus,29
characidium zebra,66
corydoras spilurus,17
lithoxus boujardi,9
eleotris pisonis,40
guyanancistrus brevispinis,20
trachelyopterus coriaceus,12
loricaria gr. cataphracta,266
phenacogaster wayana,10
anablepsoides lungi,6
aspistor quadriscutis,1
ageneiosus inermis,379
hoplerythrinus unitaeniatus,100
chasmocranus longior,7
metynnis lippincottianus,153
centropomus parallelus,1
batrochoglanis raninus,21
characidae sp.,14
crenicichla saxatilis,35
rineloricaria aff. stewarti,12
nannostomus bifasciatus,7
leporinus granti,42
nannostomus beckfordi,16
pellona flavipinnis,4
helogenes marmoratus,22
astyanax leopoldi,1
hypostomus gymnorhynchus,109
hemibrycon surinamensis,4
satanoperca rhynchitis,36
ageneiosus ucayalensis,295
cichlidae sp.,13
hemigrammus rodwayi,30
microcharacidium eleotrioides,8
hemiodus aff. unimaculatus,608
cetopsidium orientale,3
polycentrus schomburgkii,2
poptella brevispina,228
bivibranchia bimaculata,20
pachypops fourcroi,60
sciades couma,5
astyanax validus,15
pimelodella geryi,1
phenacorhamdia tenuis,7
harttia guianensis,24
lithoxus sp,1
apteronotus aff. albifrons,14
imparfinis pijpersi,1
lithoxus aff. planquettei,4
erythrinus erythrinus,7
lycengraulis grossidens,6
potamorrhaphis guianensis,2
pseudauchenipterus nodosus,17
acestrorhynchus microlepis,665
mugil incilis,10
hoplias malabaricus,647
tetragonopterus georgiae,5
aspredo aspredo,1
thayeria ifati,29
hemiodus quadrimaculatus,169
astyanax bimaculatus,60
laimosemion xiphidius,15
piabucus dentatus,49
peckoltia capitulata,4
pimelodus ornatus,57
gasteropelecus sternicla,14
characidium n.sp3,6
krobia sp. 1 aff. guianensis,3
bryconamericus guyanensis,753
tatia intermedia,5
anchovia surinamensis,729
cichlasoma bimaculatum,26
pimelodella cristata,96
hypostomus plecostomus,85
hyphessobrycon copelandi,1
strongylura marina,8
moenkhausia inrai,8
nannacara aureocephalus,12
crenicichla johanna,11
cyphocharax helleri,16
doras carinatus,86
pseudoplatystoma fasciatum,3
ituglanis amazonicus,3
chaetobranchus flavescens,16
cichlasoma amazonarum,7
hemigrammus ocellifer,17
moenkhausia collettii,199
curimata cyprinoides,620
crenuchus spilurus,1
lycengraulis batesii,154
ancistrus aff. temminckii,19
megalechis thoracata,769
pterengraulis atherinoides,181
cyphocharax aff. spilurus,38
rhamdia quelen,24
acestrorhynchus falcatus,250
myloplus rhomboidalis,65
creagrutus planquettei,4
crenicichla sp.,6
bryconops sp.,5
hyphessobrycon simulatus,62
pimelodus blochii,164
hyphessobrycon borealis,36
nannacara sp.,2
laimosemion geayi,108
callichthys callichthys,8
myloplus ternetzi,337
leporinus sp,1
anablepsoides igneus,389
rivulidae sp,55
krobia sp. 2 aff. guianensis,112
guianacara geayi,81
farlowella reticulata,1
moenkhausia surinamensis,67
poecilia parae,5
hypopomidae sp,6
pyrrhulina filamentosa,58
myloplus tumukumak,30
hemigrammus unilineatus,75
jupiaba abramoides,27
moenkhausia chrysargyrea,96
plagioscion squamosissimus,66
synbranchus marmoratus,4
leporinus gossei,10
heros efasciatus,51
